mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
12.0288774172465,1.3147013765251354,0.551516612370809,0.0115036356177119,14.865968512061862,{'C': 14.865968512061862},0.8442,0.8394,0.8442,0.8426,0.0022627416997969,75
0.9881652196248372,0.0223009050778028,0.6360716025034586,0.007063960963318,0.2584526645443057,{'C': 0.25845266454430577},0.855,0.848,0.854,0.8523333333333333,0.0030912061651652,15
1.1082847913106282,0.0451368647133412,1.211799224217733,0.2830466837106276,0.0109843863136418,{'C': 0.010984386313641889},0.8392,0.8382,0.8416,0.8396666666666667,0.0014267289706022,98
21.306867043177288,2.1907604638792075,0.6160955429077148,0.0904126149833863,25.2132903842568,{'C': 25.2132903842568},0.8438,0.8386,0.8432,0.8418666666666667,0.0023228335186912,88
41.76774255434672,2.0593281679534745,0.5986266930898031,0.034592102971235,54.08979471386585,{'C': 54.08979471386585},0.842,0.8398,0.8448,0.8422000000000001,0.0020461345670963,82
3.2664120197296143,0.1528325387176788,0.5597105820973715,0.0044160654866319,3.237352957955817,{'C': 3.237352957955817},0.848,0.8422,0.8438,0.8446666666666666,0.0024458581770458,60
1.793262243270874,0.0647424332202898,0.5831067562103271,0.0076119382055509,1.3681361103171648,{'C': 1.3681361103171648},0.8494,0.8444,0.8498,0.8478666666666667,0.0024567367696917,37
1.0753405094146729,0.0236727458321088,0.6216283639272054,0.0198576569800311,0.4138134897546489,{'C': 0.41381348975464893},0.854,0.8476,0.8532,0.8516,0.0028472208672083,20
40.58668684959412,2.510110302191086,0.5596276919047037,0.0072423809120955,51.3762044971674,{'C': 51.3762044971674},0.8426,0.8404,0.8448,0.8426,0.0017962924780409,75
0.9074520270029705,0.0103042624667077,0.6054442723592123,0.0071180093372134,0.2434922811554544,{'C': 0.24349228115545443},0.8558,0.847,0.854,0.8522666666666666,0.0037959042254631,16
7.371978123982747,0.6920370479697878,0.7200262546539307,0.1465724212255152,7.029615360356689,{'C': 7.029615360356689},0.8468,0.8416,0.8448,0.8443999999999999,0.0021416504538945,67
1.8514915307362876,0.0737719937291895,0.5686190128326416,0.0045869433276884,1.4566587591804083,{'C': 1.4566587591804085},0.8494,0.8438,0.8488,0.8473333333333333,0.002510422717835,42
1.0599645773569744,0.1488198073038054,0.9700682957967124,0.0756596270194567,0.0106015048412905,{'C': 0.010601504841290563},0.8388,0.8378,0.8412,0.8392666666666667,0.0014267289706021,99
